q,a1,a2,a3,a4,ca,isYear
На какую из стран приходится наибольший объём выбросов углекислого газа (СО,1) Индия,2) Саудовская Аравия,3) США,4) Россия,Правильный ответ указан под номером: 3,0
Для какой природной зоны характерны чернозёмные почвы?,1) смешанные леса,2) степи,3) тайга,4) широколиственные леса,Правильный ответ указан под номером: 2,0
На какой из перечисленных параллелей 22 декабря наблюдается полярная ночь?,1) 50° с. ш.,2) 80° с. ш.,3) 50° ю. ш.,4) 80° ю. ш.,Правильный ответ указан под номером: 2,0
В какой из перечисленных стран доля городского населения в общей численности населения наибольшая?,1) Бельгия,2) Турция,3) Индонезия,4) Египет,Правильный ответ указан под номером: 1,0
В какой из перечисленных стран средняя плотность населения наибольшая?,1) Япония,2) Турция,3) Бразилия,4) Мексика,Правильный ответ указан под номером: 1,0
В какой из перечисленных стран средняя ожидаемая продолжительность жизни населения наибольшая?,1) Египет,2) Украина,3) Россия,4) Германия,Правильный ответ указан под номером: 4,0
"Для какой из перечисленных стран характерна структура ВВП, показанная на диаграмме?",1) Эфиопия,2) Афганистан,3) Чехия,4) Лаос,Правильный ответ указан под номером: 3,0
Какая из перечисленных стран входит в число крупнейших производителей хлопка-волокна?,1) Португалия,2) Чехия,3) Чили,4) Индия,Правильный ответ указан под номером: 4,0
Что из перечисленного характерно для природы Финляндии?,1) обилие рек и озёр,2) действующие вулканы,3) широколиственные леса,4) жаркое сухое лето,Правильный ответ указан под номером: 1,0
С какой из перечисленных стран Россия имеет сухопутную границу?,1) Молдавия,2) Туркмения,3) Финляндия,4) Армения,Правильный ответ указан под номером: 3,0
В каком из перечисленных регионов России средняя плотность населения наибольшая?,1) Магаданская область,2) Республика Коми,3) Воронежская область,4) Республика Карелия,Правильный ответ указан под номером: 3,0
Какой из перечисленных городов России является наибольшим по численности населения?,1) Новосибирск,2) Томск,3) Петрозаводск,4) Ставрополь,Правильный ответ указан под номером: 1,0
В каком из перечисленных регионов России густота автомобильных дорог наибольшая?,1) Красноярский край,2) Республика Коми,3) Краснодарский край,4) Тюменская область,Правильный ответ указан под номером: 3,0
Какая особенность характерна для населения Европейского Севера?,1) высокий естественный прирост,2) преобладание сельского населения,3) неравномерное размещение по территории региона,4) высокая средняя плотность,Правильный ответ указан под номером: 3,0
Какие товары преобладают в структуре экспорта России?,1) сельскохозяйственное сырьё и продовольствие,2) минеральное сырьё и топливо,3) древесина и целлюлоза,4) машины и оборудование,Правильный ответ указан под номером: 2,0
В каком из высказываний содержится информация о процессе урбанизации?,1) Свыше половины населения мира проживает на равнинных территориях и около трети — на расстоянии не более 50 км от морского побережья.,"2) Если в начале ХХ в. в мире было 10 городов с численностью населения более 1 млн человек, то к 2000 г. их число увеличилось до 400.","3) В 1999 г. численность населения мира составляла 6 млрд человек, в начале 2006 г. — уже 6,5 млрд человек.","4) Если в 1900 г. из 15 крупнейших по численности населения стран мира семь находились в Европе, то на рубеже XX—ХХI вв. в их числе остались только две европейские страны.",Правильный ответ указан под номером: 2,0
В какой из перечисленных стран большинство верующих исповедуют буддизм?,1) Иран,2) Монголия,3) Эквадор,4) Сомали,Правильный ответ указан под номером: 2,0
Какая из перечисленных стран является членом ОПЕК?,1) Венесуэла,2) Пакистан,3) Мексика,4) Египет,Правильный ответ указан под номером: 1,0
"Какие географические координаты имеет точка, обозначенная на карте цифрой 1? ",1) 70° с.ш. и 80° з.д.,2) 80° с.ш. и 70° з.д,3) 70° с.ш. и 80° в.д.,4) 80° с.ш. и 70° в.д.,Правильный ответ указан под номером: 3,0
В газовом составе атмосферы Земли наибольшая доля приходится на,1) кислород,2) азот,3) водород,4) углекислый газ,Правильный ответ указан под номером: 2,0
Какой из перечисленных природных ресурсов относится к исчерпаемым возобновимым,1) каменный уголь,2) геотермальная энергия,3) энергия приливов и отливов,4) почвенное плодородие,Правильный ответ указан под номером: 4,0
Какая природная зона обозначена на картосхеме Австралии штриховкой?,1) постоянно влажных лесов,2) саванн и редколесий,3) полупустынь и пустынь,4) жестколистных вечнозеленых лесов и кустарников,Правильный ответ указан под номером: 3,0
На какой из перечисленных параллелей  в день осеннего равноденствия в полдень высота Солнца над горизонтом наибольшая?,1) 10° с.ш.,2) 30° с.ш.,3) 20° ю.ш.,4) 40° ю.ш.,Правильный ответ указан под номером: 1,0
Для какой из перечисленных стран характерен наибольший миграционный прирост населения?,1) Мексика,2) Китай,3) Германия,4) Индия,Правильный ответ указан под номером: 3,0
В какой из перечисленных стран средняя ожидаемая продолжительность жизни населения наибольшая?,1) Алжир,2) Бангладеш,3) Сирия,4) Япония,Правильный ответ указан под номером: 4,0
В какой из перечисленных стран большая часть экономически активного населения занята в непроизводственной сфере?,1) Германия,2) Лаос,3) Судан,4) Эфиопия,Правильный ответ указан под номером: 1,0
Какая из перечисленных стран является крупнейшим мировым производителем и экспортером кофе?,1) Германия,2) Колумбия,3) Марокко,4) Аргентина,Правильный ответ указан под номером: 2,0
Какой язык в Бразилии является государственным?,1) английский,2) французский,3) испанский,4) португальский,Правильный ответ указан под номером: 4,0
С какой из перечисленных стран Россия имеет сухопутную границу?,1) Афганистан,2) Киргизия,3) Польша,4) Чехия,Правильный ответ указан под номером: 3,0
В каком из перечисленных регионов России средняя плотность населения наименьшая?,1) Архангельская область,2) Воронежская область,3) Краснодарский край,4) Ставропольский край,Правильный ответ указан под номером: 1,0
Какой из перечисленных городов России является наибольшим по численности населения?,1) Архангельск,2) Мурманск,3) Оренбург,4) Омск,Правильный ответ указан под номером: 4,0
Какой из перечисленных регионов является крупным производителем риса в России?,1) Республики Тыва,2) Краснодарский край,3) Воронежская область,4) Магаданская области,Правильный ответ указан под номером: 2,0
Для природы Кольского полуострова характерно,1) наличие действующих вулканов,2) отсутствие болот,3) преобладание таежной растительности,4) отсутствие многолетней мерзлоты,Правильный ответ указан под номером: 3,0
Основная часть российского импорта приходится на,1) минеральное топливо и металлы,2) продовольствие,3) продукцию легкой промышленности,4) машины и оборудование,Правильный ответ указан под номером: 4,0
В каком из следующих высказываний содержится информация о процессе урбанизации?,1) В экономически развитых странах городской образ жизни распространился и в сельской местности.,"2) В конце ХХ века численность иностранных рабочих, прибывающих в Западную Европу, значительно уменьшилась.","3) Численность населения быстро увеличивается в тех странах, где наиболее высок его естественный прирост.","4) Продолжительность жизни женщин в среднем на 5-8 лет больше, чем у мужчин, поэтому в старших возрастах женщины преобладают.",Правильный ответ указан под номером: 1,0
Большинство верующих какого из перечисленных народов исповедуют ислам?,1) алжирцы,2) калмыки,3) карелы,4) чилийцы,Правильный ответ указан под номером: 1,0
Какая из перечисленных стран является членом ОПЕК?,1) Аргентина,2) Нигерия,3) Пакистан,4) США,Правильный ответ указан под номером: 2,0
Какой цифрой на карте мира обозначена точка с географическими координатами 20° с.ш. и 40° в.д.?,1) 1,2) 2,3) 3,4) 4,Правильный ответ указан под номером: 4,0
Наибольшая часть запасов пресных вод на Земле содержится в,1) ледниках,2) реках,3) озерах,4) болотах,Правильный ответ указан под номером: 1,0
При сжигании какого из  перечисленных видов топлива в атмосферу попадает наименьшее количество загрязняющих веществ?,1) каменный уголь,2) природный газ,3) торф,4) мазут,Правильный ответ указан под номером: 2,0
Какая природная зона занимает на территории России наибольшую площадь?,1) тундра,2) тайга,3) смешанные леса,4) степь,Правильный ответ указан под номером: 2,0
На какой из перечисленных параллелей  22 декабря наблюдается полярный день?,"1) 23,5° с.ш.","2) 23,5° ю.ш.","3) 66,5° ю.ш.","4) 66,5° с.ш.",Правильный ответ указан под номером: 3,0
Для какой из перечисленных стран характерен миграционный прирост населения?,1) Алжир,2) Судан,3) Великобритания,4) Пакистан,Правильный ответ указан под номером: 3,0
В какой из перечисленных стран средняя плотность населения наибольшая?,1) Бангладеш,2) Намибия,3) Тунис,4) Алжир,Правильный ответ указан под номером: 1,0
В какой из перечисленных стран ВВП на душу населения наибольший?,1) Судан,2) Колумбия,3) Пакистан,4) Франция,Правильный ответ указан под номером: 4,0
В какой из перечисленных стран большая часть экономически активного населения занята в непроизводственной сфере?,1) Ангола,2) Лаос,3) США,4) Эфиопия,Правильный ответ указан под номером: 3,0
Какая из перечисленных стран является наиболее крупным мировым производителем какао?,1) Пакистан,2) Индонезия,3) Марокко,4) Чили,Правильный ответ указан под номером: 2,0
В каком климатическом поясе расположена бòльшая часть территории Австралии?,1) субэкваториальный,2) тропический,3) субтропический,4) умеренный,Правильный ответ указан под номером: 2,0
С какой из перечисленных стран Россия имеет сухопутную границу?,1) Армения,2) Болгария,3) Норвегия,4) Швеция,Правильный ответ указан под номером: 3,0
Какой из перечисленных городов России является наибольшим по численности населения?,1) Ижевск,2) Махачкала,3) Чебоксары,4) Уфа,Правильный ответ указан под номером: 4,0
В каком из перечисленных регионов России природные условия наиболее благоприятны для выращивания сахарной свеклы?,1) Архангельская область,2) Костромская область,3) Краснодарский край,4) Республика Тыва,Правильный ответ указан под номером: 3,0
В какой из перечисленных областей Центральной России ведется добыча железных руд?,1) Ивановская,2) Белгородская,3) Рязанская,4) Тверская,Правильный ответ указан под номером: 2,0
Россия занимает первое место в мире по производству,1) чугуна и стали,2) каменного угля,3) природного газа,4) зерновых,Правильный ответ указан под номером: 3,0
В каком из следующих высказываний содержится информация о миграциях населения?,"1) В России в начале ХХI в. ежегодно умирает больше людей, чем рождается.",2) В 2007 г. число прибывших на постоянное жительство в Россию на 240 тысяч превысило число выбывших.,"3) Экономический кризис в России стал причиной некоторго роста числа людей, не имеющих работы.","4) В ХХ в. число больших городов в России увеличилось, возникли крупные городские агломерации.",Правильный ответ указан под номером: 2,0
В какой из перечисленных стран большинство верующих исповедуют буддизм?,1) Алжир,2) Индонезия,3) Монголия,4) Колумбия,Правильный ответ указан под номером: 3,0
Какая из перечисленных стран является членом ОПЕК?,1) Мексика,2) Венесуэла,3) Норвегия,4) Индия,Правильный ответ указан под номером: 2,0
Какая из перечисленных горных пород является метаморфической по происхождению?,1) щебень,2) пемза,3) известняк,4) мрамор,Правильный ответ указан под номером: 4,0
На какую из стран приходится наибольший объём выбросов углекислого газа (СО,1) Австралия,2) Нигерия,3) США,4) Россия,Правильный ответ указан под номером: 3,0
Для какой природной зоны характерны чернозёмные почвы?,1) смешанные леса,2) лесостепи и степи,3) тайга,4) широколиственные леса,Правильный ответ указан под номером: 2,0
На какой из перечисленных параллелей 22 декабря наблюдается полярная ночь?,1) 50° с.ш.,2) 80° с.ш.,3) 50° ю.ш.,4) 80° ю.ш.,Правильный ответ указан под номером: 2,0
С какой из перечисленных стран Россия имеет сухопутную границу?,1) Норвегия,2) Дания,3) Швеция,4) Молдавия,Правильный ответ указан под номером: 1,0
Какая особенность характерна для населения Европейского Севера России?,1) высокий естественный прирост,2) преобладание сельского населения,3) низкие показатели средней плотности,4) высокая средняя плотность,Правильный ответ указан под номером: 3,0
В каком из высказываний содержится информация о процессе урбанизации?,1) Свыше половины населения мира проживает на равнинных территориях и около трети – на расстоянии не более 50 км от морского побережья.,"2) Если в начале ХХ в. в мире было 10 городов с численностью населения более 1 млн человек, то к 2000 г. их число увеличилось до 400.","3) В 1999 г. численность населения мира составляла 6 млрд человек, в начале 2006 г. – уже 6,5 млрд человек.","4) Если в 1900 г. из 15 крупнейших по численности населения стран мира семь находилось в Европе, то на рубеже XX–ХХI вв. в их числе осталось только две европейские страны.",Правильный ответ указан под номером: 2,0
Какая из перечисленных горных пород относится к метаморфическим?,1) мрамор,2) базальт,3) гранит,4) известняк,Правильный ответ указан под номером: 1,0
Причиной глобального потепления считается увеличение в атмосфере количества,1) азота,2) кислорода,3) углекислого газа,4) водорода,Правильный ответ указан под номером: 3,0
Какие почвы наиболее характерны для природной зоны тайги?,1) бурые лесные,2) каштановые,3) сероземы,4) подзолистые,Правильный ответ указан под номером: 4,0
Какое утверждение о явлении полярного дня и ночи верно?,1) На Северном полюсе полярная ночь начинается 22 декабря.,2) На Северном полюсе полярный день длится один месяц.,"3) Продолжительность   полярного   дня   на   параллели    70° с.ш. меньше, чем на параллели 86° ю.ш.",4) В течение полярного дня Солнце стоит в зените на полярных кругах.,Правильный ответ указан под номером: 3,0
Для   какой   из   перечисленных   стран   характерна   миграционная убыль населения?,1) Пакистан,2) Франция,3) Испания,4) Италия,Правильный ответ указан под номером: 1,0
В пределах какой из перечисленных стран средняя плотность населения наименьшая?,1) Чехия,2) Турция,3) Монголия,4) США ,Правильный ответ указан под номером: 3,0
В  какой  из  перечисленных  стран  валовой  внутренний  продукт (ВВП) на душу населения наибольший?,1) Швеция,2) Бразилия,3) Китай,4) Мексика ,Правильный ответ указан под номером: 1,0
В какой из перечисленных стран большая часть экономически активного населения занята в сельском хозяйстве?,1) Австралия,2) Танзания,3) Канада,4) Австрия,Правильный ответ указан под номером: 2,0
В какой из перечисленных стран протяженность железных дорог наибольшая?,1) Австралия,2) Канада,3) Индия,4) США,Правильный ответ указан под номером: 4,0
Для населения Индии характерно преобладание,1) мусульман в религиозном составе,2) лиц пожилого возраста в возрастной структуре,3) занятости населения в сельском хозяйстве,4) женщин в половом составе,Правильный ответ указан под номером: 3,0
На границе с каким из перечисленных государств расположена крайняя западная точка России?,1) Норвегия,2) Эстония,3) Молдавия,4) Польша,Правильный ответ указан под номером: 4,0
Народы какой языковой семьи составляют большинство в населении России?,1) индоевропейской,2) уральской,3) алтайской,4) северокавказской,Правильный ответ указан под номером: 1,0
Какой из названных в задании городов Уральского экономического района имеет наибольшую численность населения?,1) Курган,2) Нижний Тагил,3) Оренбург,4) Пермь,Правильный ответ указан под номером: 4,0
Какой из перечисленных регионов России выделяется по производству сахарной свеклы?,1) Белгородская область,2) Ярославская область,3) Республика Бурятия,4) Республика Карелия,Правильный ответ указан под номером: 1,0
На Европейском Севере действует единственная в России,1) ветровая электростанция,2) геотермальная электростанция,3) приливно-отливная электростанция,4) гидроаккумулятивная электростанция,Правильный ответ указан под номером: 3,0
По сравнению с развитыми европейскими странами в России выше,1) ВВП на душу населения,2) средняя продолжительность жизни,3) смертность,4) плотность населения,Правильный ответ указан под номером: 3,0
В каком из высказываний содержится информация о миграциях населения?,"1) В настоящее время городской образ жизни является домини-рующим, причем в развитых странах он распространился и в сельской местности.","2) Продолжительность жизни женщин в среднем на 5-8 лет больше, чем у мужчин, поэтому в старших возрастах женщины преобладают.","3) Численность населения быстро увеличивается в тех странах, где наиболее высок его естественный прирост.	 ","4) В конце XX в. численность иностранных рабочих, прибывающих в Западную Европу, значительно уменьшилась.",Правильный ответ указан под номером: 4,0
Буддизм исповедуют большинство верующих,1) ненцев,2) башкир,3) калмыков,4) эвенков,Правильный ответ указан под номером: 3,0
Какая из перечисленных стран является членом ОПЕК?,1) Аргентина,2) Бразилия,3) Венесуэла,4) Мексика,Правильный ответ указан под номером: 3,0
Какое утверждение о земной коре верно?,1) Земная  кора под  материками  и  океанами  имеет  одинаковое строение.,"2) Под    океанами    мощность    земной    коры    больше,    чем    под материками.",3) Границы литосферных плит совпадают с контурами материков.,4) Литосферные плиты медленно перемещаются по поверхности мантии.,Правильный ответ указан под номером: 4,0
Какие из перечисленных природных ресурсов относятся к неисчерпаемым?,1) энергия приливов,2) природный газ,3) каменный уголь,4) почвенные,Правильный ответ указан под номером: 1,0
"Из какой природной зоны в какую переместится путешественник, совершивший перелет по маршруту А-В, показанному на карте России?",1) из зоны степей в зону тайги,2) из зоны пустынь в зону тундры,3) из зоны тайги в зону тундры,4) из зоны тундры в зону смешанных лесов,Правильный ответ указан под номером: 1,0
На какой параллели 22 декабря продолжительность светового дня наиболее велика?,"1) 23,5° ю.ш.","2) 55,5° ю.ш.",3) 60° с.ш.,4) 70° с.ш.,Правильный ответ указан под номером: 2,0
В какой из перечисленных стран доля пожилых людей в общей численности населения наибольшая?,1) Великобритания,2) Бразилия,3) Индия,4) Нигер,Правильный ответ указан под номером: 1,0
Для  какой  из  перечисленных  стран  характерен  миграционный прирост населения?,1) Нидерланды,2) Индонезия,3) Камбоджа,4) Куба,Правильный ответ указан под номером: 1,0
В пределах какой из перечисленных стран средняя плотность населения наибольшая?,1) Австралия,2) Бангладеш,3) Великобритания,4) Германия,Правильный ответ указан под номером: 2,0
В   какой   из   перечисленных   стран   средняя   ожидаемая   продолжительность жизни наибольшая?,1) Швеция,2) Индия,3) Турция,4) Китай,Правильный ответ указан под номером: 1,0
"Для  какой  страны  характерна  структура  ВВП,   показанная  на диаграмме?",1) Вьетнам,2) Непал,3) Канада,4) Лаос,Правильный ответ указан под номером: 3,0
"Какое     соответствие      «отрасль     животноводства     —     страна, специализирующаяся на этой отрасли» является верным?",1) молочное скотоводство — Монголия,2) овцеводство — Финляндия,3) свиноводство — Турция ,4) мясное скотоводство — Аргентина,Правильный ответ указан под номером: 4,0
Какое утверждение о Канаде является верным?,1) Юго-восточные провинции Канады  — районы нового освоения.,2) Главные экономические районы Канады находятся на северо-западе страны.,3) Транспортная сеть Канады отличается большой густотой.,4) Канада имеет постиндустриальную структуру хозяйства.,Правильный ответ указан под номером: 4,0
Какая из перечисленных стран имеет сухопутную границу с Россией?,1) Япония,2) Швеция,3) Румыния,4) Польша,Правильный ответ указан под номером: 4,0
Какой из перечисленных городов России является наиболее крупным по числу жителей?,1) Краснодар,2) Екатеринбург,3) Ставрополь,4) Владивосток,Правильный ответ указан под номером: 2,0
В  каком  из  перечисленных  регионов  России  посевы  пшеницы занимают наибольшую площадь?,1) Архангельская область,2) Белгородская область,3) Новгородская область,4) Псковская область,Правильный ответ указан под номером: 2,0
Какой из перечисленных народов относится к коренным народам Поволжья?,1) адыгейцы,2) немцы,3) хакасы,4) чуваши,Правильный ответ указан под номером: 4,0
Россия занимает первое место в мире по разведанным запасам,1) природного газа,2) бокситов,3) медных руд,4) нефти,Правильный ответ указан под номером: 1,0
В каком из  высказываний  содержится  информация  о  процессе урбанизации?,1) Значительная часть прироста населения США обеспечивается за счет переселенцев из других стран.,2) В результате гражданской войны в Либерии вынуждены были покинуть места обитания 500 тыс. и бежать в соседние страны еще 800 тыс. человек.,"3) В 1958 году доля городского населения России превысила 50%, в настоящее время она составляет почти 3/4 всего населения.","4) Главная полоса расселения занимает около трети всей площади территории России, но на ней живет более 90% населения.",Правильный ответ указан под номером: 3,0
В   какой   из   перечисленных  республик   большинство   верующих исповедуют ислам?,1) Коми,2) Карелия ,3) Башкортостан ,4) Чувашия,Правильный ответ указан под номером: 3,0
Какая из перечисленных стран входит в состав ОПЕК?,1) Египет,2) Нигерия,3) Аргентина,4) Бразилия,Правильный ответ указан под номером: 2,0
"Какие географические координаты имеет точка, обозначенная на карте буквой А?",1) 70° с.ш. и 100° з.д.,2) 100° с.ш. и 70° з.д.,3) 100° с.ш. и 70° в.д.,4) 70° с.ш. и 100° в.д.,Правильный ответ указан под номером: 4,0
Какое соответствие «горная порода — ее тип» является верным?,1) мрамор — осадочная,2) гранит — осадочная,3) базальт — магматическая,4) известняк — метаморфическая,Правильный ответ указан под номером: 3,0
Какие из перечисленных природных ресурсов относятся к исчерпаемым невозобновимым?,1) энергия ветра,2) биологические,3) каменный уголь,4) почвенные,Правильный ответ указан под номером: 3,0
На какой параллели наблюдаются полярный день и полярная ночь?,"1) 23,5° с.ш.",2) 40° с.ш.,"3) 55,5° с.ш.",4) 70° с.ш.,Правильный ответ указан под номером: 4,0
Для  какой  из  перечисленных  стран  характерен  миграционный прирост населения?,1) Индонезия,2) Дания ,3) Пакистан,4) Египет,Правильный ответ указан под номером: 2,0
Какая из перечисленных стран относится к числу наиболее густонаселенных?,1) Алжир,2) Бельгия ,3) Ливия ,4) Монголия,Правильный ответ указан под номером: 2,0
В  какой   из   перечисленных   стран   ожидаемая  средняя  продолжительность жизни наибольшая?,1) Алжир,2) Казахстан ,3) Австралия ,4) Мексика,Правильный ответ указан под номером: 3,0
Какое   соответствие   «сельскохозяйственная   культура   —   страна мировой лидер по ее производству» является верным?,1) кукуруза — Франция,2) рис — Китай,3) хлопчатник — Бразилия,4) пшеница — Россия,Правильный ответ указан под номером: 2,0
Самым крупным по числу жителей городом США является,1) Сан-Франциско,2) Лос-Анджелес,3) Вашингтон ,4) Нью-Йорк,Правильный ответ указан под номером: 4,0
Какая из перечисленных стран имеет сухопутную границу с Россией?,1) Турция,2) Молдавия,3) Латвия ,4) Армения,Правильный ответ указан под номером: 3,0
Какой из перечисленных городов является наиболее крупным по численности населения?,1) Самара,2) Краснодар,3) Тольятти ,4) Астрахань,Правильный ответ указан под номером: 1,0
Почему    сахарная    промышленность    развита    в    основном    в Центрально-Черноземном и Северо-Кавказском районах?,1) в этих районах находятся основные посевы сахарной свеклы,2) отходы этой отрасли являются кормовой базой для развитого здесь свиноводства,3) в этих районах находятся основные потребители продукции отрасли,4) в этих районах имеются крупные электростанции,Правильный ответ указан под номером: 1,0
Какими морями омывается территория Дальнего Востока?,1) Японским и Карским,2) Беринговым и Охотским,3) Восточно-Сибирским и Баренцевым,4) Лаптевых и Северным,Правильный ответ указан под номером: 2,0
Россия занимает первое место в мире по,1) производству стали,2) добыче угля,3) добыче природного газа,4) выращиванию пшеницы,Правильный ответ указан под номером: 3,0
В каком из высказываний содержится информация о проявлении миграции населения?,"1) Во многих странах Европы смертность на каждую тысячу жителей превышает рождаемость, в результате чего численность населения снижается.",2) В результате гражданской войны в Либерии были вынуждены покинуть места жительства 500 тыс. человек и бежать в соседние страны еще 800 тыс. человек.,3) В настоящее время на долю развивающихся стран приходится более 4/5 всего ежегодного прироста городских жителей в мире.,4) Самые высокие показатели ожидаемой продолжительности жизни в России отмечаются в Москве и республиках Северного Кавказа.,Правильный ответ указан под номером: 2,0
В   какой   из   перечисленных   республик   большинство   верующих исповедуют буддизм?,1) Тыва,2) Карелия,3) Татарстан,3) Чувашия,Правильный ответ указан под номером: 0,0
Какая из перечисленных стран входит в состав ОПЕК?,1) Алжир,2) Канада,3) Пакистан,4) Бразилия,Правильный ответ указан под номером: 1,0
Какой по происхождению горной породой является песок?,1) осадочной органической,2) осадочной обломочной,3) метаморфической,4) магматической ,Правильный ответ указан под номером: 2,0
Какие из перечисленных природных ресурсов относятся к исчерпаемым невозобновимым?,1) медные руды,2) энергия ветра,3) лесные ресурсы,4) почвенные ресурсы,Правильный ответ указан под номером: 1,0
"Из    какой    природной    зоны    в    какую переместится   путешественник,   совершив перелет  по  маршруту А-В,   показанному на карте Африки?",1) из зоны влажных вечнозеленых лесов в зону жестколистных лесов и кустарников,2) из зоны саванн в зону пустынь,3) из зоны влажных вечнозеленых лесов в зону пустынь,4) из зоны пустынь в зону саванн,Правильный ответ указан под номером: 1,0
